dba_name,postal_code,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,naics_description,address,lat,lng,Incoming_Visitor_home_census_blocks,POI_risk_final
IK & CO LLC,92108,60730093042.0,"{""060650507001"":4,""060730138021"":4,""270530271023"":4}","{""060730053004"":4}","PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",HAZARD CENTER DR,32.77091621,-117.1559666,"{'06065050700': 4, '06073013802': 4, '27053027102': 4}",0.3703774721231087
IKA SUSHI & GRILL INC,92127,60730170321.0,"{""060730170301"":5,""060730170321"":4,""060730207082"":4}","{""060730170301"":7,""060730171041"":4,""060730207082"":4}",FULL-SERVICE RESTAURANTS,DOVE CANYON RD,33.01519985,-117.1118361,"{'06073017030': 5, '06073017032': 4, '06073020708': 4}",0.43351625598634014
IL POSTINO RESTAURANT,92104,60730013002.0,"{""060730015003"":4}",{},FULL-SERVICE RESTAURANTS,30TH ST,32.74955659,-117.1300826,{'06073001500': 4},0.23264070977877216
ILDEFONSOS  ART GLASS CREATIONS,92110,60730065001.0,"{""060730056001"":8,""060730206023"":7,""060730083441"":6,""530530713042"":6,""060730215001"":5,""060730083541"":4,""060070031003"":4,""060730054002"":4,""060730101071"":4,""060730100053"":4,""060730176011"":4,""040131125101"":4,""060730170422"":4,""060730091072"":4,""060730085041"":4,""060730208092"":4,""040190043221"":4,""060730031073"":4,""060730032093"":4,""060730083542"":4,""060650435072"":4,""060730101104"":4,""060650419061"":4,""060730068021"":4,""060730203061"":4,""060730133102"":4,""060730133101"":4,""060730068022"":4,""060730068011"":4,""060730068023"":4,""060730164025"":4,""060650427381"":4,""060730091011"":4,""060730141021"":4,""060730100012"":4}","{""060375438023"":10,""060730085111"":6,""060070031003"":4,""060730082001"":4,""060730089014"":4,""060730154044"":4,""060730100121"":4,""060730083461"":4,""060730173042"":4,""060730157013"":4,""060730165031"":4,""060730053003"":4,""060730133101"":4,""490490101131"":4,""060730154043"":4,""060730214001"":4,""060730204011"":4,""060730032084"":4,""060730100142"":4,""060730076005"":4,""060730100151"":4,""060650427381"":4,""060710100171"":4,""060730095111"":4,""060730170301"":4,""530330265001"":4,""060730043001"":4,""060730133102"":4,""060730166093"":4,""060650427331"":4,""060730197023"":4,""060730068011"":4,""060730068023"":4,""060730133141"":4,""060290054015"":4,""320030036211"":4,""060730117002"":4,""060730206023"":4,""060730170422"":4,""060730159022"":4,""060730074005"":4,""060730065001"":4,""060730032093"":4,""060730060001"":4,""060650446052"":4,""060730083542"":4,""060730025013"":4,""060710005043"":4,""060730101071"":4}",SWAP MEET VENDOR,SPORTS ARENA BLVD,32.75364931,-117.211393,"{'06073005600': 8, '06073020602': 7, '06073008344': 6, '53053071304': 6, '06073021500': 5, '06073008354': 4, '06007003100': 4, '06073005400': 4, '06073010107': 4, '06073010005': 4, '06073017601': 4, '04013112510': 4, '06073017042': 4, '06073009107': 4, '06073008504': 4, '06073020809': 4, '04019004322': 4, '06073003107': 4, '06073003209': 4, '06065043507': 4, '06073010110': 4, '06065041906': 4, '06073006802': 4, '06073020306': 4, '06073013310': 4, '06073006801': 4, '06073016402': 4, '06065042738': 4, '06073009101': 4, '06073014102': 4, '06073010001': 4}",0.9999406942815984
ILENDINGDIRECT DBA IFLEETDIRECT,92111,60730085111.0,"{""060670074021"":4,""060730028031"":4}",{},AUTOMOBILE DEALERS,MERCURY ST,32.82440079,-117.148921,"{'06067007402': 4, '06073002803': 4}",0.4676828266661846
ILLUMINA US MANUFACTURING OPERATIONS INC,92122,60730083403.0,"{""060730200271"":7,""060730083601"":5,""060730102003"":4}","{""060730083403"":5,""060730089013"":4,""060730200193"":4,""060730118022"":4,""060730077022"":4}","R&D IN PHYSICAL, ENGINEERING & LIFE SCIENCES",ILLUMINA WAY,32.8700317,-117.1999929,"{'06073020027': 7, '06073008360': 5, '06073010200': 4}",0.6442843250191953
IMAC STORE,92154,60730101101.0,"{""060730100092"":9,""060730135051"":8,""060730100142"":7,""060133462013"":4,""060730213032"":4,""060730032093"":4,""060730100034"":4,""060730129001"":4,""060730139051"":4,""060730101071"":4,""060730039022"":4,""060730128002"":4,""060730133102"":4,""060730167011"":4,""060730101073"":4,""060730101112"":4,""060730086001"":4,""060730098054"":4,""060730117001"":4,""060730009002"":4,""060730100131"":4,""060730131023"":4}","{""060730100142"":8,""060730129001"":6,""060730100093"":5,""060730031081"":5,""060730206011"":5,""060730104023"":4,""060730156012"":4,""060730103001"":4,""060730086001"":4,""060730133072"":4,""060730127002"":4,""060730033041"":4,""060730167011"":4,""060133462013"":4,""060730132051"":4,""060730157012"":4,""060730083103"":4,""060730092011"":4,""060730133141"":4,""060730016001"":4,""060730100121"":4,""060730083291"":4,""060730132063"":4,""060730009002"":4,""060730100092"":4}",SWAP MEET VENDOR,CORONADO AVE,32.779021,-117.1278616,"{'06073010009': 9, '06073013505': 8, '06073010014': 7, '06013346201': 4, '06073021303': 4, '06073003209': 4, '06073010003': 4, '06073012900': 4, '06073013905': 4, '06073010107': 4, '06073003902': 4, '06073012800': 4, '06073013310': 4, '06073016701': 4, '06073010111': 4, '06073008600': 4, '06073009805': 4, '06073011700': 4, '06073000900': 4, '06073010013': 4, '06073013102': 4}",0.9999942101458876
IMAGE FACTORY,92110,60730065001.0,"{""060730031051"":4,""060730100012"":4,""060730034032"":4}","{""060730065001"":4,""060730031051"":4}",SWAP MEET VENDOR,SPORTS ARENA BLVD,32.75327089,-117.2092705,"{'06073003105': 4, '06073010001': 4, '06073003403': 4}",0.8016992230106049
IMAGEOLOGY,92110,60730065001.0,"{""060730056001"":8,""060730206023"":7,""060730083441"":6,""530530713042"":6,""060730215001"":5,""060730083541"":4,""060070031003"":4,""060730054002"":4,""060730101071"":4,""060730100053"":4,""060730176011"":4,""040131125101"":4,""060730170422"":4,""060730091072"":4,""060730085041"":4,""060730208092"":4,""040190043221"":4,""060730031073"":4,""060730032093"":4,""060730083542"":4,""060650435072"":4,""060730101104"":4,""060650419061"":4,""060730068021"":4,""060730203061"":4,""060730133102"":4,""060730133101"":4,""060730068022"":4,""060730068011"":4,""060730068023"":4,""060730164025"":4,""060650427381"":4,""060730091011"":4,""060730141021"":4,""060730100012"":4}","{""060375438023"":10,""060730085111"":6,""060070031003"":4,""060730082001"":4,""060730089014"":4,""060730154044"":4,""060730100121"":4,""060730083461"":4,""060730173042"":4,""060730157013"":4,""060730165031"":4,""060730053003"":4,""060730133101"":4,""490490101131"":4,""060730154043"":4,""060730214001"":4,""060730204011"":4,""060730032084"":4,""060730100142"":4,""060730076005"":4,""060730100151"":4,""060650427381"":4,""060710100171"":4,""060730095111"":4,""060730170301"":4,""530330265001"":4,""060730043001"":4,""060730133102"":4,""060730166093"":4,""060650427331"":4,""060730197023"":4,""060730068011"":4,""060730068023"":4,""060730133141"":4,""060290054015"":4,""320030036211"":4,""060730117002"":4,""060730206023"":4,""060730170422"":4,""060730159022"":4,""060730074005"":4,""060730065001"":4,""060730032093"":4,""060730060001"":4,""060650446052"":4,""060730083542"":4,""060730025013"":4,""060710005043"":4,""060730101071"":4}",SWAP MEET VENDOR,SPORTS ARENA BLVD,32.75364931,-117.211393,"{'06073005600': 8, '06073020602': 7, '06073008344': 6, '53053071304': 6, '06073021500': 5, '06073008354': 4, '06007003100': 4, '06073005400': 4, '06073010107': 4, '06073010005': 4, '06073017601': 4, '04013112510': 4, '06073017042': 4, '06073009107': 4, '06073008504': 4, '06073020809': 4, '04019004322': 4, '06073003107': 4, '06073003209': 4, '06065043507': 4, '06073010110': 4, '06065041906': 4, '06073006802': 4, '06073020306': 4, '06073013310': 4, '06073006801': 4, '06073016402': 4, '06065042738': 4, '06073009101': 4, '06073014102': 4, '06073010001': 4}",0.9999406942815984
IMEG CORP,92127,60730170321.0,"{""060730206011"":8,""060730083541"":4,""060730170301"":4}","{""060730170321"":4}",CONSULTING SERVICES,VIA FRONTERA nan,33.01315763,-117.0947236,"{'06073020601': 8, '06073008354': 4, '06073017030': 4}",0.5755636295932469
